zip,avg_payback_period,avg_needed_incentives,prop_adopt_1_years_-5500_incentive,prop_adopt_2_years_-5500_incentive,prop_adopt_3_years_-5500_incentive,prop_adopt_4_years_-5500_incentive,prop_adopt_5_years_-5500_incentive
36603,14.355041506276208,10264.126368148161,0.0,0.0,0.0,0.0,0.0
36604,14.548616396416204,10720.993854366321,0.0,0.0,0.0,0.0,0.0
36605,14.507768803302,10604.40981604742,0.0,0.0,0.0,0.0,0.0
36606,14.48909322285593,10629.947322055987,0.0,0.0,0.0,0.0,0.0
36607,14.540120483909982,10631.466762027974,0.0,0.0,0.0,0.0,0.0
36608,14.421405227356248,10435.456361387927,0.0,0.0,0.0,0.0,0.0
36609,14.495565028936346,10562.01004605877,0.0,0.0,0.0,0.0,0.0
36610,14.487143061340799,10569.319731051559,0.0,0.0,0.0,0.0,0.0
36611,14.452605619533696,10544.806386307848,0.0,0.0,0.0,0.0,0.0
36612,14.386161004361442,10457.197447445335,0.0,0.0,0.0,0.0,0.0
36613,14.575870867105419,10830.985412161805,0.0,0.0,0.0,0.0,0.0
36617,14.46968651580235,10630.939480171684,0.0,0.0,0.0,0.0,0.0
36618,14.52055475591344,10728.621306451729,0.0,0.0,0.0,0.0,0.0
36619,14.512863148797644,10667.738389676524,0.0,0.0,0.0,0.0,0.0
36693,14.57446479884865,10761.509519845229,0.0,0.0,0.0,0.0,0.0
36695,14.573879202725307,10730.111452883986,0.0,0.0,0.0,0.0,0.0
36752,14.6737241540253,10627.968127937509,0.0,0.0,0.0,0.0,0.0
36801,14.727679744840028,10767.607172629585,0.0,0.0,0.0,0.0,0.0
36804,14.681426907083237,10659.2245215673,0.0,0.0,0.0,0.0,0.0
36830,14.540156773278866,10312.94666532188,0.0,0.0,0.0,0.0,0.0
36832,14.570244515757262,10251.592719135318,0.0,0.0,0.0,0.0,0.0
36856,16.104164071514788,11382.38869378392,0.003,0.003,0.003,0.003,0.003
36867,14.649817318513831,10524.785577093113,0.0,0.0,0.0,0.0,0.0
36869,14.74642599839103,10699.95087429275,0.0,0.0,0.0,0.0,0.0
36870,14.60191941023483,10561.57442874478,0.0,0.0,0.0,0.0,0.0
36875,14.799716921362545,10922.956618265365,0.0,0.0,0.0,0.0,0.0
36877,14.763587296411888,10861.139394318994,0.0,0.0,0.0,0.0,0.0
36879,14.766135677966503,10858.886641121866,0.0,0.0,0.0,0.0,0.0
