panels_1_years_-2000_incentive,panels_2_years_-2000_incentive,panels_3_years_-2000_incentive,panels_4_years_-2000_incentive,panels_5_years_-2000_incentive,zip
0,0,0,0,0,16146
0,0,0,0,0,16148
0,0,0,0,0,16150
0,0,0,0,0,16159
0,0,0,0,0,16161
0,0,0,0,0,16229
0,0,0,0,0,16415
0,0,0,0,0,16421
0,0,0,0,0,16501
0,0,0,0,0,16502
0,0,0,0,0,16503
0,0,0,0,0,16504
0,0,0,0,0,16505
0,0,0,0,0,16506
0,0,0,0,0,16507
0,0,0,0,34,16508
0,0,0,0,0,16509
0,0,0,0,90,16510
0,0,0,0,0,16511
0,0,0,0,0,16601
0,0,0,0,0,16602
0,0,0,0,9,16635
0,0,0,0,0,16636
0,0,0,0,0,16637
0,0,0,0,0,16648
0,0,0,0,0,16665
0,0,0,0,0,16669
0,0,5,9,13,16673
0,0,0,0,9,16801
0,0,0,0,0,16803
0,0,0,0,0,16823
0,0,0,0,0,16865
0,0,0,0,0,16868
0,0,0,0,0,16870
0,0,0,0,0,17003
0,0,54,410,2511,1701
0,0,0,0,48,17011
0,0,0,0,0,17019
0,0,151,529,4662,1702
0,0,0,0,0,17022
0,0,0,0,0,17025
0,0,0,0,0,17028
0,0,0,0,0,17033
0,0,0,0,0,17034
0,0,0,0,0,17036
0,0,0,0,0,17038
0,0,0,0,40,17042
0,0,0,0,0,17043
0,0,0,0,0,17046
0,0,0,0,10,17050
0,0,0,0,2,17053
0,0,0,0,0,17055
0,0,0,0,6,17057
0,0,0,0,1,17067
0,0,0,0,0,17070
0,0,0,0,0,17078
0,0,0,0,0,17093
0,0,0,0,1,17101
0,0,0,4,50,17102
0,0,0,39,118,17103
0,0,0,0,52,17104
0,0,0,0,18,17109
0,0,0,0,43,17110
0,0,0,0,0,17111
0,0,0,0,0,17112
0,0,0,0,0,17113
0,0,49,422,3002,1721
0,0,0,0,0,17225
0,0,0,0,0,17263
0,0,0,0,0,17268
0,0,29,383,1902,1730
0,0,3,16,349,1731
0,0,0,0,0,17319
0,0,0,4,13,17325
0,0,0,0,0,17339
0,0,0,0,0,17340
0,0,0,0,3,17345
0,0,0,0,0,17347
0,0,0,0,0,17360
0,0,0,0,0,17370
0,0,0,0,0,17401
0,0,0,0,0,17402
0,0,0,0,0,17403
0,0,0,0,25,17404
0,0,0,0,0,17406
0,0,0,0,0,17407
0,0,0,0,0,17408
0,0,4,173,517,1741
0,0,0,1,7,1742
0,0,1,21,136,1745
0,0,50,583,3024,1746
0,0,0,199,1422,1747
0,0,16,763,2786,1748
0,0,0,0,6,17501
0,0,0,0,0,17502
0,0,0,0,1,17505
0,0,0,0,0,17508
0,0,0,0,0,17512
0,0,0,0,0,17516
0,0,0,1,7,17520
0,0,0,0,0,17522
0,0,0,0,0,17529
0,0,0,0,0,17538
0,0,0,0,9,17540
0,0,0,0,0,17543
0,0,0,0,0,17545
0,0,0,0,8,17551
0,0,0,0,0,17552
0,0,0,0,6,17554
0,0,0,0,0,17557
0,0,29,208,1439,1756
0,0,0,0,0,17560
0,0,0,0,1,17562
0,0,66,613,6377,1757
0,0,0,1,7,17572
0,0,0,0,0,17579
0,0,0,0,0,17582
0,0,0,0,0,17584
0,0,109,1059,5965,1760
0,0,0,13,41,17601
0,0,33,89,133,17602
0,0,0,0,15,17603
0,0,34,231,805,1770
0,0,0,0,47,17701
0,0,0,0,5,17702
0,0,37,470,1736,1772
0,0,0,0,0,17728
0,0,4,49,171,1773
