zip,year,incentive,panels
15215,1,-2000,0
15216,1,-2000,0
15217,1,-2000,0
15218,1,-2000,0
15219,1,-2000,0
1522,1,-2000,0
15220,1,-2000,0
15221,1,-2000,0
15222,1,-2000,0
15223,1,-2000,0
15224,1,-2000,0
15225,1,-2000,0
15226,1,-2000,0
15227,1,-2000,0
15228,1,-2000,0
15229,1,-2000,0
15232,1,-2000,0
15233,1,-2000,0
15234,1,-2000,0
15235,1,-2000,0
15236,1,-2000,0
15237,1,-2000,0
15238,1,-2000,0
15239,1,-2000,0
1524,1,-2000,0
15241,1,-2000,0
15243,1,-2000,0
1527,1,-2000,0
1529,1,-2000,0
15317,1,-2000,0
15321,1,-2000,0
1534,1,-2000,0
1535,1,-2000,0
1536,1,-2000,0
15361,1,-2000,0
1537,1,-2000,0
1540,1,-2000,0
1541,1,-2000,0
1542,1,-2000,0
1543,1,-2000,0
1545,1,-2000,0
15545,1,-2000,0
1560,1,-2000,0
15613,1,-2000,0
15615,1,-2000,0
1562,1,-2000,0
15629,1,-2000,0
15632,1,-2000,0
15636,1,-2000,0
1564,1,-2000,0
15641,1,-2000,0
15642,1,-2000,0
15644,1,-2000,0
15656,1,-2000,0
1566,1,-2000,0
15665,1,-2000,0
15668,1,-2000,0
15673,1,-2000,0
1568,1,-2000,0
1569,1,-2000,0
15690,1,-2000,0
15692,1,-2000,0
1570,1,-2000,0
1571,1,-2000,0
15801,1,-2000,0
1581,1,-2000,0
1583,1,-2000,0
15840,1,-2000,0
15851,1,-2000,0
1588,1,-2000,0
1590,1,-2000,0
15901,1,-2000,0
15902,1,-2000,0
15904,1,-2000,0
15905,1,-2000,0
15906,1,-2000,0
15909,1,-2000,0
15928,1,-2000,0
15935,1,-2000,0
15942,1,-2000,0
15946,1,-2000,0
15963,1,-2000,0
16001,1,-2000,0
16002,1,-2000,0
1602,1,-2000,0
1603,1,-2000,0
1604,1,-2000,0
16045,1,-2000,0
1605,1,-2000,0
16053,1,-2000,0
1606,1,-2000,0
1607,1,-2000,0
1608,1,-2000,0
1609,1,-2000,0
1610,1,-2000,0
1611,1,-2000,0
1612,1,-2000,0
16121,1,-2000,0
16143,1,-2000,0
16146,1,-2000,0
16148,1,-2000,0
16150,1,-2000,0
16159,1,-2000,0
16161,1,-2000,0
16229,1,-2000,0
16415,1,-2000,0
16421,1,-2000,0
16501,1,-2000,0
16502,1,-2000,0
16503,1,-2000,0
16504,1,-2000,0
16505,1,-2000,0
16506,1,-2000,0
16507,1,-2000,0
16508,1,-2000,0
16509,1,-2000,0
16510,1,-2000,0
16511,1,-2000,0
16601,1,-2000,0
16602,1,-2000,0
16635,1,-2000,0
16636,1,-2000,0
16637,1,-2000,0
16648,1,-2000,0
16665,1,-2000,0
16669,1,-2000,0
16673,1,-2000,0
16801,1,-2000,0
16803,1,-2000,0
16823,1,-2000,0
16865,1,-2000,0
16868,1,-2000,0
16870,1,-2000,0
17003,1,-2000,0
1701,1,-2000,0
17011,1,-2000,0
17019,1,-2000,0
1702,1,-2000,0
17022,1,-2000,0
17025,1,-2000,0
17028,1,-2000,0
17033,1,-2000,0
17034,1,-2000,0
17036,1,-2000,0
17038,1,-2000,0
17042,1,-2000,0
17043,1,-2000,0
17046,1,-2000,0
17050,1,-2000,0
17053,1,-2000,0
17055,1,-2000,0
17057,1,-2000,0
17067,1,-2000,0
17070,1,-2000,0
17078,1,-2000,0
17093,1,-2000,0
17101,1,-2000,0
17102,1,-2000,0
17103,1,-2000,0
17104,1,-2000,0
17109,1,-2000,0
17110,1,-2000,0
17111,1,-2000,0
17112,1,-2000,0
17113,1,-2000,0
1721,1,-2000,0
17225,1,-2000,0
17263,1,-2000,0
17268,1,-2000,0
1730,1,-2000,0
1731,1,-2000,0
17319,1,-2000,0
17325,1,-2000,0
17339,1,-2000,0
17340,1,-2000,0
17345,1,-2000,0
17347,1,-2000,0
17360,1,-2000,0
17370,1,-2000,0
17401,1,-2000,0
17402,1,-2000,0
17403,1,-2000,0
17404,1,-2000,0
17406,1,-2000,0
17407,1,-2000,0
17408,1,-2000,0
1741,1,-2000,0
1742,1,-2000,0
1745,1,-2000,0
1746,1,-2000,0
1747,1,-2000,0
1748,1,-2000,0
17501,1,-2000,0
17502,1,-2000,0
17505,1,-2000,0
17508,1,-2000,0
17512,1,-2000,0
17516,1,-2000,0
17520,1,-2000,0
17522,1,-2000,0
17529,1,-2000,0
17538,1,-2000,0
17540,1,-2000,0
17543,1,-2000,0
17545,1,-2000,0
17551,1,-2000,0
17552,1,-2000,0
17554,1,-2000,0
17557,1,-2000,0
1756,1,-2000,0
17560,1,-2000,0
17562,1,-2000,0
1757,1,-2000,0
17572,1,-2000,0
17579,1,-2000,0
17582,1,-2000,0
17584,1,-2000,0
1760,1,-2000,0
17601,1,-2000,0
17602,1,-2000,0
17603,1,-2000,0
1770,1,-2000,0
17701,1,-2000,0
17702,1,-2000,0
1772,1,-2000,0
17728,1,-2000,0
1773,1,-2000,0
17744,1,-2000,0
17754,1,-2000,0
17756,1,-2000,0
1778,1,-2000,0
17801,1,-2000,0
17815,1,-2000,0
17837,1,-2000,0
17847,1,-2000,0
17850,1,-2000,0
17857,1,-2000,0
17859,1,-2000,0
17870,1,-2000,0
17876,1,-2000,0
17889,1,-2000,0
17901,1,-2000,0
17923,1,-2000,0
17951,1,-2000,0
17954,1,-2000,0
17965,1,-2000,0
17970,1,-2000,0
1801,1,-2000,0
18011,1,-2000,0
18013,1,-2000,0
18014,1,-2000,0
18015,1,-2000,0
18017,1,-2000,0
18018,1,-2000,0
18020,1,-2000,0
1803,1,-2000,0
18031,1,-2000,0
18032,1,-2000,0
18034,1,-2000,0
18036,1,-2000,0
18037,1,-2000,0
18038,1,-2000,0
18040,1,-2000,0
18042,1,-2000,0
18045,1,-2000,0
18049,1,-2000,0
18051,1,-2000,0
18052,1,-2000,0
18053,1,-2000,0
18055,1,-2000,0
18059,1,-2000,0
18062,1,-2000,0
18064,1,-2000,0
18066,1,-2000,0
18067,1,-2000,0
18069,1,-2000,0
18072,1,-2000,0
18074,1,-2000,0
18077,1,-2000,0
18078,1,-2000,0
18079,1,-2000,0
18080,1,-2000,0
18083,1,-2000,0
18085,1,-2000,0
18086,1,-2000,0
18087,1,-2000,0
18088,1,-2000,0
18091,1,-2000,0
18092,1,-2000,0
1810,1,-2000,0
18101,1,-2000,0
18102,1,-2000,0
18103,1,-2000,0
18104,1,-2000,0
18106,1,-2000,0
18109,1,-2000,0
1821,1,-2000,0
1824,1,-2000,0
1826,1,-2000,0
1827,1,-2000,0
1830,1,-2000,0
1832,1,-2000,0
1833,1,-2000,0
1834,1,-2000,0
18343,1,-2000,0
1835,1,-2000,0
18353,1,-2000,0
18360,1,-2000,0
1840,1,-2000,0
18403,1,-2000,0
1841,1,-2000,0
18411,1,-2000,0
1843,1,-2000,0
18433,1,-2000,0
18434,1,-2000,0
18436,1,-2000,0
1844,1,-2000,0
18444,1,-2000,0
18447,1,-2000,0
1845,1,-2000,0
18452,1,-2000,0
1850,1,-2000,0
18503,1,-2000,0
18504,1,-2000,0
18505,1,-2000,0
18507,1,-2000,0
18508,1,-2000,0
18509,1,-2000,0
1851,1,-2000,0
18510,1,-2000,0
18512,1,-2000,0
18517,1,-2000,0
18518,1,-2000,0
18519,1,-2000,0
1852,1,-2000,0
1854,1,-2000,0
18603,1,-2000,0
18612,1,-2000,0
1862,1,-2000,0
18621,1,-2000,0
1863,1,-2000,0
18631,1,-2000,0
18634,1,-2000,0
18635,1,-2000,0
1864,1,-2000,0
18640,1,-2000,0
18641,1,-2000,0
18642,1,-2000,0
18643,1,-2000,0
18644,1,-2000,0
18651,1,-2000,0
18660,1,-2000,0
1867,1,-2000,0
18701,1,-2000,0
18702,1,-2000,0
18704,1,-2000,0
18705,1,-2000,0
18706,1,-2000,0
18707,1,-2000,0
18708,1,-2000,0
18709,1,-2000,0
1876,1,-2000,0
1879,1,-2000,0
1880,1,-2000,0
1886,1,-2000,0
1887,1,-2000,0
1890,1,-2000,0
18901,1,-2000,0
18902,1,-2000,0
18914,1,-2000,0
18915,1,-2000,0
18925,1,-2000,0
18927,1,-2000,0
18929,1,-2000,0
18932,1,-2000,0
18936,1,-2000,0
18938,1,-2000,0
18940,1,-2000,0
18951,1,-2000,0
18954,1,-2000,0
18964,1,-2000,0
18966,1,-2000,0
18969,1,-2000,0
18974,1,-2000,0
18976,1,-2000,0
18977,1,-2000,0
19001,1,-2000,0
19002,1,-2000,0
19003,1,-2000,0
19004,1,-2000,0
19006,1,-2000,0
19007,1,-2000,0
19008,1,-2000,0
